1194,1366
71,2691
1947,1950
86,429
850,1464
154,1568
1196,2300
608,2080
1331,1810
217,2473
442,698
1046,2387
318,1701
1671,1929
2415,2597
1725,2334
1721,2476
1358,1729
266,2227
1169,1714
91,2123
384,1624
461,2309
69,2189
1523,2449
1914,1918
1070,1167
620,923
1835,2157
835,1654
324,2156
596,644
1564,1772
1428,2524
109,1998
1203,1215
812,1300
107,971
657,1729
1952,2204
1090,1093
2439,2652
481,1287
1525,1914
507,1211
2246,2247
856,1390
1738,2365
368,2249
415,2182
1482,1973
511,1810
1928,2317
509,1101
795,1645
2203,2330
1703,1971
625,1024
733,1329
211,356
490,1981
1171,1855
35,1913
1131,1224
2114,2509
2135,2282
1628,1635
120,1842
48,2471
46,2366
1129,1518
140,623
302,350
1586,2168
1923,1927
469,2304
1221,1577
261,1894
739,1958
879,1558
637,1641
2241,2242
225,2255
109,1805
487,1772
1205,1358
1810,1815
123,2604
628,1764
1038,2503
93,1495
162,1174
1061,1196
52,2053
152,884
304,1172
1848,2419
1154,1715
1185,2590
577,2351
741,2093
963,1094
29,963
160,2009
249,1884
629,883
1367,2080
5,1629
1229,1254
105,2476
1121,1131
989,1507
647,1267
1467,2172
1526,1981
65,543
239,1274
353,2507
756,2186
1447,1928
941,2517
1505,2086
1239,2611
1986,1989
734,2197
1433,2359
1184,1190
172,756
1199,1214
1519,1534
243,473
1226,2528
1946,1950
2308,2559
641,2704
1358,1726
1692,2347
553,1127
1224,1370
733,2011
1624,1705
711,2113
1390,2681
346,1358
1224,2153
269,2543
89,1087
735,1958
1131,2281
963,2240
2401,2434
99,2604
71,206
661,1880
411,1096
2220,2221
451,2285
1177,1935
1071,2248
738,1927
1926,2189
846,2146
507,1300
1017,1475
1324,2265
1815,1950
458,1555
2001,2002
108,2157
597,1104
224,1810
755,1277
1041,1243
111,1358
779,1592
80,257
429,2043
740,1002
598,637
451,935
133,2082
88,841
1464,1683
1512,2023
1735,2324
1416,1922
357,1154
817,2456
306,417
1067,1216
88,1394
613,1358
360,1824
1190,1387
554,685
2665,2666
1082,1534
310,990
601,2229
1166,2582
1966,1971
412,1849
1471,1646
32,279
1862,2582
863,1590
279,502
877,1176
306,1251
1080,2162
1111,2125
210,1671
2464,2465
1810,1814
229,1894
580,1758
830,1914
2305,2306
631,2358
868,988
551,2388
607,1213
2401,2435
1001,2662
411,1488
960,2650
770,2117
335,1701
2026,2045
1701,1856
1119,2124
1416,1921
1216,2446
973,1072
828,1795
88,2014
1121,2136
645,1824
55,1156
2476,2651
1779,2318
172,2187
22,1702
616,1739
1901,2286
526,1007
756,885
306,1551
837,2248
1046,2336
1358,1719
44,2701
37,1190
492,2673
1432,1950
164,210
444,828
1093,2367
67,282
1050,2563
1106,1874
1420,1421
1770,2080
1327,2161
1269,2227
451,671
844,1902
504,1973
114,2288
2151,2423
1382,2176
1275,1468
645,1901
435,1912
2390,2451
1987,2509
2034,2041
997,1837
678,733
218,1020
240,1692
1269,1630
1357,2025
1358,1718
1530,2464
957,1685
43,1653
463,1964
306,655
867,871
1986,1995
90,155
1221,1607
1049,1432
316,1821
216,1542
59,1067
1505,1788
1441,1954
1224,1526
1702,1703
56,447
434,1117
94,733
1242,2148
1937,1938
148,2518
1542,1935
734,2277
197,231
1914,1919
1358,1761
574,1692
332,2003
817,1763
921,1914
2117,2118
1312,1313
1358,1716
151,1986
232,869
1131,2283
2056,2311
492,1533
1662,2398
118,1507
1224,1848
128,370
1362,1914
2224,2226
156,817
503,2001
1583,2025
726,1533
1359,1464
724,2395
270,1215
1952,2205
502,1976
854,1097
553,745
396,1988
605,2534
2204,2521
1358,1739
609,883
1359,1914
987,1175
421,2216
748,1145
408,525
1867,2117
559,1579
261,1701
1406,2387
1013,1661
2025,2026
2146,2147
634,2227
109,1787
784,960
1587,2154
1838,2182
473,2647
937,1180
90,817
1356,1613
69,1926
232,1701
391,1986
211,1908
383,733
415,1677
3,2544
2228,2395
1148,1317
1257,2538
1229,2441
1103,1358
938,2230
603,1873
1110,2025
1932,1936
191,2385
286,698
306,2087
893,1051
505,1779
1479,1701
956,2677
95,2181
2173,2174
1318,2661
395,640
606,2360
1347,1997
1278,2306
73,1035
253,1413
510,1013
11,1839
201,1986
448,472
595,1256
111,1169
1149,1358
61,2312
985,1358
277,1869
921,2293
54,767
673,1907
824,1831
88,815
197,2412
507,1940
1157,2240
1911,2553
979,2207
2112,2436
88,1658
1701,1867
2452,2685
218,2119
937,1304
2228,2394
1487,2137
229,1053
143,316
687,1546
229,2118
61,1080
1749,2446
676,2235
45,1986
1897,1903
342,1512
1067,2307
722,1273
661,807
1624,1787
544,2052
1435,1927
1307,1444
963,1785
1327,1328
525,2172
2155,2295
1042,2052
519,1986
1224,2154
1739,1886
95,1602
2444,2503
135,2144
126,236
1339,1358
1979,2178
955,1482
422,545
1812,1986
262,1464
614,2470
48,1662
1358,1757
1000,2543
1,652
1470,2553
1319,2034
1138,2250
1580,2200
2560,2561
1581,1819
676,1955
154,2525
68,391
1201,2214
459,1681
1658,2018
587,1032
